nationality,pca_race_points,physical_score,race_difficulty,combined_score_per_km,consistency_score,race_performance_score
8,15.234305,1.4420328,1.4877808,-0.32937652,-1.0476205,-0.5841879
8,19.556417,0.40533742,1.5128832,-0.33230513,-1.0476205,-1.1430633
8,19.19578,-1.4088802,1.0694239,-0.3401091,-1.0476205,-0.93590635
8,6.266082,1.701207,0.85781646,-0.3537881,-1.0476205,-1.1643318
8,18.930046,0.14616314,1.3653567,-0.33093357,-1.0476205,-0.97740304
8,19.917057,-0.8905322,1.6338067,-0.3175971,-1.0476205,-1.3915507
8,0.19772168,0.92368543,-2.461191,0.97424436,-1.0476205,-1.5370884
8,15.291248,0.6645111,1.5015349,-0.3363437,-1.0476205,-0.97760695
8,11.4861,0.14616314,1.6075121,-0.3343242,-1.0476205,-0.9777985
8,19.537437,-0.37218422,1.5315273,-0.33606327,-1.0476205,-1.5157863
8,11.543043,1.4420328,1.0741668,-0.3054164,-1.0476205,-0.3565302
8,2.4522324,-0.11301055,-2.5264225,3.273108,-1.0476205,-1.4257569
8,16.017004,-1.1497065,0.9327546,-0.31571415,-1.0476205,-0.48049387
8,15.594944,-1.4088802,1.5347695,-0.32742947,-1.0476205,-0.8326562
8,19.841131,-0.11301055,1.708933,-0.33238485,-1.0476205,-0.91532445
8,1.2242712,0.6428036,-2.5218017,9.580428,-0.29881203,2.7313817
43,-0.19507737,-1.9436234,-2.5622396,7.2021465,-0.20851728,1.0082419
35,1.056292,2.981363,1.9960879,-0.2896108,3.45347,1.29943
55,5.0030594,-1.1661549,1.2554519,-0.29536378,-1.2582687,0.036543198
55,-0.19507737,-1.9436766,-2.5097516,2.557893,-1.2582687,-1.4964546
35,-0.19507737,1.1732727,-2.5755587,19.36762,1.9955965,-0.87685925
47,0.2605166,-1.6904033,-2.5479438,7.3508825,-0.6321811,2.1494472
35,0.19772168,-1.1573459,-2.548746,4.3051767,-0.86951387,-1.5364426
35,17.818872,-0.3798242,1.5909429,-0.25270662,-0.86951387,-1.2673945
35,19.309666,-1.1573459,1.430178,-0.34293687,-0.86951387,-1.0188121
35,-0.19507737,-1.6756939,-2.5611544,13.291729,-0.86951387,-1.5180868
25,-0.07971587,-0.36934367,-2.5218017,9.566095,-0.116729364,2.541559
38,11.524062,-0.11381137,1.8389827,-0.275688,-0.02579739,2.14884
38,22.170244,-0.37298566,1.577487,-0.268186,-0.02579739,0.6999088
59,-0.09432052,1.1768017,-2.5479438,7.3446956,0.03782364,2.065126
11,2.1090994,1.1794223,1.3286601,-0.29587364,6.6111555,-0.75044703
8,18.531446,-0.6307029,2.1129086,-0.3074982,-0.36354852,1.5071933
18,18.531446,1.6818761,1.0165641,-0.32475147,-0.54950845,0.20292795
37,-0.19507737,1.4376869,-2.5296423,6.6187525,6.5701404,1.2780527
37,0.077983856,1.4376869,-2.5357757,4.3221235,6.5701404,1.7759062
51,0.12179784,0.90976554,-2.4987738,6.878563,-0.29875094,2.5420148
25,2.5062237,3.2493124,1.2934022,-0.31625924,-0.8523403,-1.0403146
25,7.4911423,2.9901388,1.3653567,-0.33321953,-0.8523403,-1.0607814
25,1.0782245,1.9534434,-2.5620139,15.272795,-0.8523403,-1.3639863
25,10.954634,1.9534434,1.2659172,-0.32199484,-0.8523403,-1.4126154
25,2.1061478,2.9901388,1.6075121,-0.33607742,-0.8523403,-1.1852865
25,5.0789833,2.9901388,1.2555195,-0.32955512,-0.8523403,-1.2058364
25,17.211481,2.4717913,1.5200902,-0.28273478,-0.8523403,-1.2052865
25,-0.19507737,2.7309651,-2.5611544,13.291729,-0.8523403,-1.4559677
8,2.8873186,0.39064765,1.1420815,-0.35266382,-1.2691442,-0.895345
61,-0.19507737,0.1375722,-2.5770044,47.094948,-0.30873054,-1.2912983
