_url,name,birth_year,weight,height,nationality
raffaello-bonusi,Raffaello  Bonusi,1992.0,60.837225640450555,176.049746993665,Italy
harald-morscher,Harald  Morscher,1972.0,68.06302425854128,177.8345981865966,Austria
thomas-champion,Thomas  Champion,1999.0,70.0,193.0,France
enrico-franzoi,Enrico  Franzoi,1982.0,70.0,178.0,Italy
mateusz-mroz,Mateusz  Mróz,1980.0,73.23195023841618,180.05878684695548,Poland
manuel-cardoso,Manuel Antonio Leal  Cardoso,1983.0,70.0,179.0,Portugal
michele-rezzani,Michele  Rezzani,1975.0,72.30639215121235,183.04201752354965,Italy
andrea-dolci,Andrea  Dolci,1969.0,68.27512387614578,172.27047420800395,Italy
patrick-hosotte,Patrick  Hosotte,1957.0,64.34845722108722,175.58815234376752,France
sebastian-schwager,Sebastian  Schwager,1984.0,60.9095619160201,170.3390500699684,Germany
marco-fincato,Marco  Fincato,1970.0,81.4944947457029,192.11855389513354,Italy
mickael-delage,Mickaël  Delage,1985.0,70.0,180.0,France
andre-chappuis,André  Chappuis,1956.0,77.64133646148989,191.33658169170894,France
erich-spahn,Erich  Spahn,1948.0,67.33989209924387,178.37860971446574,Switzerland
wim-van-de-meulenhof,Wim van de Meulenhof,1966.0,74.74903475672745,185.70279376219636,Netherlands
alfons-scheys,Alfons  Scheys,1947.0,74.41516678623562,185.05029324400243,Belgium
bruno-cenghialta,Bruno  Cenghialta,1962.0,73.0,184.0,Italy
johan-bruyneel,Johan  Bruyneel,1964.0,71.0,182.0,Belgium
martin-prazdnovsky,Martin  Prázdnovský,1975.0,72.37112915625355,181.7429732607362,Slovakia
dorian-godon,Dorian  Godon,1996.0,73.0,191.0,France
syver-waersted,Syver  Wærsted,1996.0,78.10697059836203,193.0,Norway
antonio-bucciero,Antonio  Bucciero,1982.0,53.94630729161763,162.0054127585979,Italy
julien-stassen,Julien  Stassen,1988.0,66.0,182.0,Belgium
markus-hoelgaard,Markus  Hoelgaard,1994.0,74.0,188.0,Norway
enrique-martinez,Enrique  Martinez,1953.0,65.11462569173553,176.67008755922257,Spain
koen-vekemans,Koen  Vekemans,1966.0,67.51472380128834,184.66869820687742,Belgium
louis-pfenninger,Louis  Pfenninger,1944.0,70.0,183.0,Switzerland
mirko-selvaggi,Mirko  Selvaggi,1985.0,73.0,195.0,Italy
dag-selander,Dag  Selander,1955.0,59.60226308481163,178.73835224145327,Norway
gianluca-pierobon,Gianluca  Pierobon,1967.0,74.28341837609817,173.81681432620232,Italy
zico-waeytens,Zico  Waeytens,1991.0,67.0,180.0,Belgium
twan-castelijns,Twan  Castelijns,1989.0,70.0,180.0,Netherlands
roberto-savoldi,Roberto  Savoldi,1975.0,68.44764645183479,176.8638802101805,Italy
andre-peirsman,André  Peirsman,1948.0,58.68921125711259,169.61393926260442,Belgium
anass-ait-el-abdia,Anass  Aït El Abdia,1993.0,66.0,180.0,Morocco
dino-bertolo,Dino  Bertolo,1953.0,65.99982331493433,181.14649956934875,France
mattia-gavazzi,Mattia  Gavazzi,1983.0,70.0,171.0,Italy
david-kopp,David  Kopp,1979.0,68.0,184.0,Germany
simone-campagnari,Simone  Campagnari,1972.0,77.7960953451267,191.31220932447027,Italy
giairo-ermeti,Giairo  Ermeti,1981.0,60.0,174.0,Italy
fernando-mendes,Fernando dos Reis Dias  Mendes,1946.0,65.47373190469207,175.9950750880395,Portugal
guillaume-boivin,Guillaume  Boivin,1989.0,78.0,182.0,Canada
harry-steevens,Harry  Steevens,1945.0,73.0,178.0,Netherlands
ruben-dario-beltran,Ruben Dario  Beltran,1964.0,73.88270190469743,187.54961730866867,Colombia
paul-van-hyfte,Paul Van Hyfte,1972.0,70.0,177.0,Belgium
aketza-pena,Aketza  Peña,1981.0,75.55058374918102,186.81249493016873,Spain
tom-jelte-slagter,Tom-Jelte  Slagter,1989.0,57.0,169.0,Netherlands
frederik-rodenberg,Frederik  Rodenberg,1998.0,73.0,190.0,Denmark
fiorenzo-favero,Fiorenzo  Favero,1955.0,63.82187888807067,173.43630734016244,Italy
michael-van-staeyen,Michael Van Staeyen,1988.0,62.0,167.0,Belgium
inaki-isasi-flores,Iñaki  Isasi,1977.0,70.0,181.0,Spain
jens-mouris,Jens  Mouris,1980.0,91.0,198.0,Netherlands
frans-verbeeck,Frans  Verbeeck,1941.0,63.57002903663432,173.74383299758875,Belgium
dion-smith,Dion  Smith,1993.0,67.0,179.0,New Zealand
lennert-van-eetvelt,Lennert Van Eetvelt,2001.0,63.0,176.0,Belgium
lars-boven,Lars  Boven,2001.0,62.0,172.0,Netherlands
jose-del-ramo,José Del Ramo,1960.0,56.78681865797904,170.86371972852217,Spain
christophe-laborie,Christophe  Laborie,1986.0,67.0,181.0,France
karl-maxon,Karl  Maxon,1959.0,65.93332207791151,170.52954183727664,United States
diego-magoni,Diego  Magoni,1955.0,83.8463911896442,198.61400137660138,Italy
dirk-friel,Dirk  Friel,1970.0,65.82857340182231,183.95408061428853,United States
tobias-foss,Tobias  Foss,1997.0,74.0,184.0,Norway
noel-vantyghem,Noël  Vantyghem,1947.0,73.31369071876001,181.73446707561487,Belgium
tomas-konecny,Tomáš  Konečný,1973.0,67.0,178.0,Czech Republic
daniel-summerhill,Daniel  Summerhill,1989.0,70.0,185.0,United States
christian-dumont,Christian  Dumont,1956.0,77.97693653265152,191.82910636802333,Belgium
ettore-badolato,Ettore  Badolato,1964.0,74.6707669666436,176.5914469651284,Italy
daniel-beelen,Daniel  Beelen,1966.0,63.729952523847494,174.1756548596243,Belgium
nicolas-vogondy,Nicolas  Vogondy,1977.0,62.0,172.0,France
david-gutierrez-palacios,David  Gutiérrez Palacios,1987.0,68.27459251783569,186.7852035642439,Spain
ben-zwiehoff,Ben  Zwiehoff,1994.0,61.0,182.0,Germany
bert-pronk,Bert  Pronk,1950.0,77.89539315870044,185.1674136860204,Netherlands
wilfried-wesemael,Wilfried  Wesemael,1950.0,59.74098881143083,177.80620779299417,Belgium
ludo-frijns,Ludo  Frijns,1957.0,65.36869476409315,177.1129000698438,Belgium
