points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
0.0,-0.0,4800.0,13.0,1.0,1220,157,27.0,44.0,1
0.0,0.0,155600.0,2208.0,2.0,804,16,9.0,32.0,0
0.0,0.0,229000.0,2407.0,2.0,881,75,18.0,6.0,1
0.0,-0.0,168400.0,3669.0,5.0,971,59,21.0,662.0,1
25.0,12.0,166400.0,4179.0,5.0,798,4,35.0,27.0,0
5.0,8.0,294000.0,2536.0,2.0,1585,119,23.0,407.0,1
0.0,-0.0,187000.0,3021.0,4.0,1535,136,35.0,633.0,1
0.0,0.0,217000.0,2082.0,3.0,891,148,15.0,103.0,1
0.0,0.0,207500.0,1509.0,1.0,1703,160,34.0,20.0,1
12.0,17.0,244000.0,3546.0,2.0,890,23,7.0,72.0,1
0.0,0.0,18900.0,290.0,2.0,928,51,35.0,114.0,1
0.0,0.0,185000.0,4345.0,5.0,1699,161,52.0,1891.0,1
0.0,3.0,203000.0,2253.0,2.0,708,54,29.0,255.0,1
0.0,0.0,251000.0,3470.0,3.0,1188,98,41.0,280.0,1
0.0,0.0,25450.0,439.0,1.0,597,82,42.0,173.0,1
0.0,-0.0,10000.0,677.0,4.0,898,20,29.0,31.0,1
32.0,32.0,254100.0,4565.0,2.0,1347,19,20.0,0.0,0
0.0,0.0,221000.0,2164.0,2.0,1058,62,18.0,0.0,1
0.0,0.0,177700.0,2317.0,5.0,1128,179,39.0,693.0,1
0.0,0.0,163500.0,1118.0,1.0,1612,120,58.0,50.0,1
0.0,-0.0,8200.0,66.0,1.0,1496,106,15.0,41.0,1
8.0,11.0,265000.0,3439.0,2.0,454,32,21.0,770.0,1
0.0,-0.0,175000.0,1942.0,2.0,971,36,26.0,21.0,1
5.0,0.0,227000.0,2964.0,2.0,1024,117,18.0,500.0,1
0.0,-0.0,186400.0,2900.0,2.0,1101,56,50.0,198.0,1
0.0,0.0,175000.0,1337.0,1.0,1220,24,24.0,0.0,1
0.0,0.0,150000.0,3050.0,2.0,861,191,46.0,1418.0,1
0.0,-0.0,181000.0,3560.0,4.0,1535,61,23.0,204.0,1
0.0,-0.0,5400.0,111.0,1.0,1632,63,-7.0,30.0,1
2.0,0.0,40500.0,561.0,2.0,933,14,30.0,116.0,0
0.0,-0.0,147000.0,2454.0,4.0,1165,121,11.0,1137.0,1
2.0,1.0,72000.0,1263.0,2.0,419,9,29.0,0.0,0
0.0,0.0,205000.0,2214.0,4.0,878,124,53.0,1582.0,1
14.0,2.0,193000.0,2696.0,1.0,1381,9,9.0,135.0,0
0.0,-0.0,54000.0,533.0,2.0,1612,57,27.0,424.0,1
0.0,0.0,173900.0,2195.0,2.0,566,115,34.0,987.0,1
0.0,-0.0,202000.0,2500.0,2.0,1731,68,27.0,356.0,1
0.0,0.0,183000.0,1018.0,1.0,1535,115,26.0,0.0,1
0.0,0.0,216000.0,3210.0,4.0,1176,111,15.0,1445.0,1
0.0,-0.0,160000.0,2677.0,4.0,1165,121,31.0,1114.0,1
0.0,0.0,164500.0,3368.0,4.0,775,17,34.0,49.0,0
0.0,0.0,148000.0,3023.0,5.0,1108,42,31.0,415.0,1
0.0,0.0,152000.0,3951.0,5.0,852,63,21.0,718.0,1
0.0,0.0,170000.0,1810.0,2.0,734,116,31.0,413.0,1
0.0,-0.0,154000.0,2564.0,3.0,971,81,29.0,342.0,1
0.0,0.0,220000.0,3210.0,4.0,917,78,44.0,520.0,1
0.0,0.0,166900.0,2291.0,2.0,798,78,34.0,564.0,1
0.0,0.0,187000.0,2034.0,2.0,636,103,22.0,0.0,1
0.0,0.0,177800.0,3610.0,5.0,660,56,43.0,1001.0,1
0.0,0.0,207500.0,2047.0,1.0,1933,164,15.0,6.0,1
0.0,0.0,218000.0,2766.0,4.0,997,28,11.0,329.0,1
0.0,0.0,204000.0,2291.0,1.0,1036,145,23.0,260.0,1
8.0,13.0,226000.0,3982.0,3.0,303,18,-5.0,485.0,0
0.0,-0.0,179300.0,5234.0,5.0,1220,61,37.0,594.0,1
0.0,0.0,193100.0,1962.0,2.0,1161,54,13.0,0.0,1
0.0,0.0,161000.0,3912.0,4.0,881,37,57.0,145.0,1
0.0,0.0,34100.0,716.0,1.0,765,133,47.0,483.0,1
0.0,0.0,155000.0,834.0,1.0,1612,182,29.0,118.0,1
5.0,1.0,260000.0,3288.0,2.0,862,62,-2.0,450.0,1
0.0,0.0,193100.0,1962.0,2.0,1161,50,13.0,0.0,1
0.0,0.0,200800.0,1813.0,2.0,661,89,65.0,561.0,1
0.0,-0.0,42500.0,215.0,1.0,1101,151,31.0,409.0,1
0.0,0.0,171500.0,2365.0,3.0,660,97,33.0,434.0,1
0.0,0.0,174000.0,4681.0,5.0,1685,66,21.0,988.0,1
0.0,0.0,95000.0,2244.0,4.0,1089,22,45.0,76.0,1
0.0,0.0,166400.0,4179.0,5.0,798,133,35.0,1479.0,1
0.0,0.0,226000.0,2873.0,2.0,1067,154,30.0,172.0,1
0.0,0.0,213000.0,1168.0,1.0,1685,45,38.0,145.0,1
32.0,2.0,204500.0,2693.0,1.0,1731,5,22.0,33.0,0
0.0,0.0,180000.0,1044.0,1.0,1170,131,35.0,94.0,1
0.0,-0.0,83000.0,428.0,1.0,1632,63,18.0,62.0,1
0.0,0.0,180500.0,2319.0,2.0,1175,32,34.0,5.0,1
0.0,0.0,188300.0,4151.0,5.0,883,83,33.0,757.0,1
0.0,0.0,225500.0,2350.0,1.0,1804,65,6.0,1.0,1
0.0,0.0,170000.0,2073.0,2.0,1150,31,14.0,109.0,1
0.0,0.0,33400.0,990.0,3.0,572,49,42.0,330.0,1
0.0,-0.0,3500.0,236.0,2.0,674,28,26.0,16.0,1
50.0,29.0,171400.0,2178.0,2.0,819,2,13.0,0.0,0
0.0,-0.0,207000.0,3664.0,2.0,995,116,20.0,626.0,1
0.0,0.0,197000.0,2286.0,2.0,895,63,48.0,7.0,1
0.0,0.0,188300.0,4151.0,5.0,883,39,33.0,193.0,1
0.0,-0.0,190000.0,4432.0,5.0,935,40,28.0,654.0,1
0.0,-0.0,220500.0,1044.0,1.0,1496,90,22.0,93.0,1
0.0,0.0,168000.0,2431.0,3.0,926,50,11.0,19.0,1
