Unnamed: 0,points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
259204,0.0,0.0,152500.0,2319.0,3.0,968.0,23.0,616.0,1.0
439554,0.0,0.0,198000.0,2746.0,2.0,767.0,26.0,3799.0,1.0
115340,0.0,0.0,213000.0,1777.0,2.0,835.0,25.0,14160.0,1.0
483673,0.0,0.0,168000.0,3950.0,4.0,817.0,30.0,1634.0,1.0
492414,0.0,0.0,202400.0,2166.0,2.0,722.0,27.0,12010.0,1.0
382545,0.0,0.0,176000.0,337.0,1.0,621.0,23.0,12281.0,1.0
84833,0.0,0.0,188300.0,1316.0,3.0,1551.0,35.0,571.0,1.0
106249,5.0,5.0,253000.0,4852.0,2.0,1019.0,22.0,532.0,1.0
97010,0.0,0.0,162300.0,2755.0,1.0,968.0,25.0,543.0,1.0
535175,0.0,0.0,176600.0,2644.0,5.0,704.0,31.0,1231.0,1.0
184405,0.0,0.0,176900.0,3125.0,2.0,767.0,33.0,72.0,1.0
532367,3.0,8.0,212400.0,1958.0,1.0,981.0,24.0,17024.0,0.0
516424,5.0,0.0,258100.00000000003,4443.0,2.0,1042.0,32.0,1130.0,1.0
432461,0.0,0.0,164600.0,2091.0,3.0,704.0,32.0,133.0,1.0
138329,0.0,0.0,96700.0,773.0,1.0,968.0,37.0,284.0,1.0
175615,0.0,0.0,207920.0,2625.0,2.0,741.0,29.0,14079.0,0.0
350830,0.0,0.0,5120.0,39.0,1.0,508.0,35.0,421.0,1.0
18260,7.0,0.0,25600.0,131.0,1.0,767.0,28.0,1032.0,0.0
365132,0.0,0.0,219900.0,2477.0,3.0,1551.0,26.0,688.0,1.0
25473,0.0,0.0,181800.0,1427.0,1.0,1584.0,30.0,11104.0,1.0
145705,5.0,0.0,293000.0,2096.0,2.0,938.0,24.0,736.0,1.0
70135,0.0,0.0,147000.0,3167.0,2.0,817.0,31.0,2009.0,1.0
501933,0.0,0.0,30900.0,179.0,1.0,968.0,26.0,430.0,1.0
589017,0.0,0.0,196000.0,1764.0,2.0,817.0,25.0,11733.0,1.0
540657,0.0,0.0,193000.0,3610.0,3.0,1044.0,23.0,1356.0,1.0
477276,0.0,0.0,194000.0,2336.0,2.0,835.0,24.0,1271.0,1.0
305048,0.0,0.0,186300.0,2556.0,3.0,1551.0,30.0,11516.0,0.0
139083,0.0,0.0,200700.0,1996.0,2.0,1584.0,24.0,12158.0,0.0
541723,0.0,0.0,162000.0,2581.0,2.0,835.0,29.0,1105.0,1.0
272318,0.0,0.0,165600.0,3682.0,5.0,1044.0,26.0,330.0,1.0
350738,30.0,25.0,5120.0,39.0,1.0,508.0,32.0,1035.0,0.0
532436,0.0,0.0,212400.0,1958.0,1.0,981.0,36.0,13891.0,1.0
591075,0.0,0.0,195000.0,1390.0,3.0,817.0,31.0,12317.0,1.0
116102,0.0,0.0,115100.0,577.0,1.0,1584.0,30.0,10573.0,1.0
516292,5.0,0.0,204100.0,2017.0,2.0,860.0,26.0,506.0,1.0
51430,0.0,0.0,177600.0,2746.0,2.0,767.0,32.0,869.0,1.0
116190,0.0,0.0,203000.0,369.0,1.0,817.0,42.0,14943.0,1.0
273609,0.0,0.0,15840.0,884.0,5.0,508.0,26.0,363.0,1.0
276405,0.0,0.0,159800.0,1723.0,1.0,1182.0,29.0,163.0,1.0
233766,0.0,0.0,179300.0,1873.0,2.0,1584.0,27.0,11656.0,1.0
362148,0.0,0.0,191100.0,2018.0,2.0,781.0,27.0,773.0,1.0
521030,0.0,0.0,202000.0,3092.0,3.0,1059.0,29.0,17304.0,1.0
558614,0.0,0.0,169800.0,2956.0,2.0,789.0,27.0,371.0,1.0
509795,16.0,30.0,201600.0,2508.0,3.0,866.0,23.0,17212.0,0.0
589092,0.0,0.0,196000.0,1764.0,2.0,817.0,26.0,308.0,1.0
336145,13.0,12.0,183700.0,1649.0,2.0,648.0,25.0,228.0,1.0
310836,0.0,0.0,153000.0,2243.0,2.0,817.0,34.0,847.0,1.0
127100,0.0,0.0,218000.0,2503.0,3.0,1044.0,25.0,1059.0,1.0
393412,0.0,0.0,158000.0,2753.0,2.0,781.0,29.0,6625.0,1.0
362068,0.0,0.0,191100.0,2018.0,2.0,781.0,26.0,143.0,1.0
382158,0.0,0.0,180600.0,3998.0,5.0,704.0,24.0,1513.0,1.0
280291,0.0,0.0,183000.0,5423.0,5.0,835.0,31.0,686.0,1.0
547585,5.0,0.0,202100.0,3160.0,3.0,971.0,37.0,114.0,1.0
273751,0.0,0.0,133500.0,3471.0,4.0,1584.0,37.0,307.0,1.0
216063,0.0,0.0,167300.0,2865.0,3.0,781.0,31.0,182.0,1.0
480331,0.0,0.0,165400.0,2514.0,3.0,719.0,22.0,9398.0,0.0
366701,0.0,0.0,170800.0,2287.0,2.0,539.0,39.0,6833.0,1.0
315620,0.0,0.0,31100.0,408.0,2.0,781.0,40.0,364.0,1.0
29794,0.0,0.0,178000.0,2729.0,3.0,508.0,26.0,631.0,1.0
379484,0.0,0.0,177000.0,4019.0,5.0,817.0,35.0,1653.0,1.0
275663,0.0,0.0,168400.0,1766.0,1.0,968.0,27.0,11012.0,1.0
233712,8.0,25.0,179300.0,1873.0,2.0,1584.0,25.0,13140.0,0.0
75960,1.0,2.0,169400.0,1405.0,2.0,981.0,32.0,13267.0,0.0
