points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
0.0,0.0,134800.0,3828.0,5.0,789.0,36.0,147.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,32.0,147.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,35.0,159.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,25.0,183.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,31.0,195.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,31.0,204.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,31.0,220.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,23.0,220.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,31.0,250.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,268.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,25.0,270.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,39.0,270.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,32.0,316.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,325.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,21.0,384.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,32.0,391.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,36.0,391.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,391.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,31.0,391.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,455.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,455.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,458.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,25.0,458.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,27.0,458.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,30.0,467.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,36.0,513.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,27.0,523.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,523.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,23.0,523.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,523.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,25.0,528.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,27.0,559.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,565.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,34.0,581.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,36.0,593.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,34.0,593.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,593.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,31.0,593.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,23.0,604.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,24.0,778.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,33.0,787.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,849.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,27.0,849.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,849.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,25.0,849.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,849.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,35.0,998.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,27.0,998.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,998.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,1093.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,27.0,1093.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,24.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,23.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,32.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,24.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,23.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,27.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,23.0,1136.0,1.0
